,компания,сектор,год,тип отчета,ссылка на отчет
186,ООО «Амвэй»,"Прочие виды производства, услуг",2012,СО,/download/2bdafc6d62126bce4d1707471b675ac3/
187,ООО «Амвэй»,"Прочие виды производства, услуг",2011,СО,/download/5eab8d69f2c2343c1f83202218e8bb50/
188,ООО «Амвэй»,"Прочие виды производства, услуг",2010,СО,/download/049a0de4dd02c7f5dbbea08f00b85dfd/
189,ООО «Амвэй»,"Прочие виды производства, услуг",2009,СО,/download/d69082b8a3abe5f95587fe81ba1960df/
190,ООО «Амвэй»,"Прочие виды производства, услуг",2008,СО,/download/1a6d2950d9857c7cefff8cf38469c928/
191,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2019,ЭО,/download/66c399d4565aea9c319ad4f7e3fb5cc0/
192,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2018,ЭО,/download/17cadba30dad200445c24bfb57fe5461/
193,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2017,ИО,/download/358eda5985b5630db5129ecfa2ef75f3/
194,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2016,ИО,/download/1a438c91aa87b36849a49f605e594cd3/
195,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2015,ИО,/download/2d247c6b298c5c8c6f590ca8a85e416a/
196,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2014,ИО,/download/41577b85a2e77b15a82fccd1bb352120/
197,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2013,ИО,/download/b0ea6313fb897660b26e8d28687c83bb/
198,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2012,ИО,/download/25cccad1c25014fdf0f84022078f15d4/
199,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2011,ИО,/download/f513957401bfc4c7104e0013957f8ad7/
200,АО «Ангарский электролизный химический комбинат»,"Химическая, нефтехимическая, парфюмерная",2010,ИО,/download/924de1ad08612045f48891a12765a557/
201,ОАО «Архангельский целлюлозно- бумажный комбинат» ,"Деревообрабатывающая, целлюлозно-бумажная",2008,ЭО,/download/c4d31527f468d005d07bd32c2d389e50/
202,ОАО «Архангельский целлюлозно- бумажный комбинат» ,"Деревообрабатывающая, целлюлозно-бумажная",2006,ЭО,/download/1c06a612c1cb0286917c6b00e0fbafbe/
203,ОАО «Архангельский целлюлозно- бумажный комбинат» ,"Деревообрабатывающая, целлюлозно-бумажная",2004,ЭО,/download/6164163497429356afb1a6ebeed52ceb/
